"","row","method","treat","combination","column","blank","fileName","sampling","value","ID"
"258","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s4.txt",4,0.05,"R_Low_1"
"259","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s3.txt",3,0.047,"R_Low_1"
"260","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s2.txt",2,0.05,"R_Low_1"
"261","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s15.txt",15,0.066,"R_Low_1"
"262","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s14.txt",14,0.066,"R_Low_1"
"263","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s13.txt",13,0.064,"R_Low_1"
"264","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s12.txt",12,0.063,"R_Low_1"
"265","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s10.txt",10,0.07,"R_Low_1"
"266","E","440","flucinc","mono","V2",0.04,"./flucinc_mono_s1.txt",1,0.047,"R_Low_1"
"267","F","440","flucinc","mono","V2",0.04,"./flucinc_mono_s9.txt",9,0.065,"T_Low_1"
"268","F","440","flucinc","mono","V2",0.04,"./flucinc_mono_s8.txt",8,0.065,"T_Low_1"
"269","F","440","flucinc","mono","V2",0.04,"./flucinc_mono_s7.txt",7,0.065,"T_Low_1"
